Duty Period #,Flights,Origin,Destination,Departure,Arrival,Duty Time,Overnight,Cost
11305,"['CC2745', 'CC3778', 'CC2124', 'CC1301', 'CC3191']",LFPG,ESSA,07:30:00,23:20:00,0 days 10:20:00,540.0,3084.3333333333335
11306,"['CC1210', 'CC2032', 'CC1601', 'CC2875']",EGLL,EDDF,06:05:00,23:05:00,0 days 07:20:00,650.0,2507.333333333333
11307,"['CC1152', 'CC2398', 'CC1031', 'CC2627']",EGLL,EHAM,06:50:00,21:20:00,0 days 06:55:00,705.0,2466.916666666667
11308,"['CC4200', 'CC5095', 'CC4282']",EDDF,LFPG,09:25:00,22:15:00,0 days 06:20:00,1215.0,2843.333333333333
11309,"['CC4439', 'CC3919', 'CC4483', 'CC3960', 'CC4519']",EDDM,EDDF,06:55:00,21:10:00,0 days 07:55:00,650.0,2640.916666666667
11310,"['CC3897', 'CC1918', 'CC1301', 'CC2146', 'CC1527']",EDDF,LFPG,06:05:00,22:30:00,0 days 09:00:00,1215.0,3454.0
11311,"['CC2538', 'CC1198', 'CC2697', 'CC3644', 'CC2875']",LFPG,EDDF,09:30:00,23:05:00,0 days 09:10:00,650.0,2927.166666666667
11312,"['CC1152', 'CC2277', 'CC1011', 'CC2066', 'CC1490']",EGLL,LFPG,06:50:00,22:20:00,0 days 08:40:00,1215.0,3377.666666666667
11313,"['CC1069', 'CC1940', 'CC1394']",EGLL,LFPG,08:55:00,16:50:00,0 days 05:10:00,1215.0,2576.166666666667
11314,"['CC3897', 'CC2361', 'CC1247', 'CC2773']",EDDF,EHAM,06:05:00,18:15:00,0 days 07:15:00,705.0,2543.25
11315,"['CC3897', 'CC2398', 'CC1551', 'CC2146', 'CC1527']",EDDF,LFPG,06:05:00,22:30:00,0 days 09:10:00,1215.0,3492.166666666667
11316,"['CC1110', 'CC2302', 'CC1347', 'CC2594']",EGLL,EHAM,06:50:00,22:35:00,0 days 07:05:00,705.0,2505.083333333333
11317,"['CC1638', 'CC1940', 'CC1582', 'CC3191']",EGLL,ESSA,07:20:00,23:20:00,0 days 08:50:00,540.0,2740.833333333333
11318,"['CC2398', 'CC1198', 'CC2066', 'CC1347', 'CC2875']",LFPG,EDDF,09:25:00,23:05:00,0 days 09:00:00,650.0,2889.0
11319,"['CC1110', 'CC2894', 'CC4047', 'CC4282']",EGLL,LFPG,06:50:00,22:15:00,0 days 07:20:00,1215.0,3072.333333333333
11320,"['CC1152', 'CC3191']",EGLL,ESSA,06:50:00,23:20:00,0 days 05:00:00,540.0,1863.0
11321,"['CC1110', 'CC2849', 'CC3809']",EGLL,LFPG,06:50:00,22:35:00,0 days 05:40:00,1215.0,2690.666666666667
11322,"['CC3677', 'CC2146', 'CC1490']",EHAM,LFPG,07:40:00,22:20:00,0 days 05:15:00,1215.0,2595.25
11323,"['CC1674', 'CC3741', 'CC2124', 'CC1394', 'CC2875']",EGLL,EDDF,06:35:00,23:05:00,0 days 09:20:00,650.0,2965.333333333333
11324,"['CC1210', 'CC2361', 'CC1198', 'CC2066', 'CC1874']",EGLL,EIDW,06:05:00,22:15:00,0 days 09:00:00,555.0,2794.0
11325,"['CC2097', 'CC1435', 'CC2443', 'CC1125']",LFPG,LFPG,06:30:00,22:05:00,0 days 07:00:00,0.0,1781.0
11326,"['CC2500', 'CC1582', 'CC2594']",LFPG,EHAM,15:05:00,22:35:00,0 days 05:35:00,705.0,2161.583333333333
11327,"['CC1210', 'CC2486', 'CC1582', 'CC2594']",EGLL,EHAM,06:05:00,22:35:00,0 days 07:05:00,705.0,2505.083333333333
11328,"['CC3621', 'CC2032', 'CC1247', 'CC2806', 'CC3540']",EHAM,LFPG,06:20:00,22:35:00,0 days 08:35:00,1215.0,3358.583333333333
11329,"['CC1152', 'CC2361', 'CC1011', 'CC2204', 'CC1125']",EGLL,LFPG,06:50:00,22:05:00,0 days 08:40:00,1215.0,3377.666666666667
11330,"['CC1674', 'CC3741', 'CC2724', 'CC3473', 'CC1125']",EGLL,LFPG,06:35:00,22:05:00,0 days 09:20:00,1215.0,3530.333333333333
11331,"['CC1110', 'CC2724', 'CC3404']",EGLL,EGLL,06:50:00,17:40:00,0 days 05:30:00,0.0,1437.5
11332,"['CC1638', 'CC2277', 'CC1011', 'CC2204']",EGLL,EGLL,07:20:00,19:20:00,0 days 07:20:00,0.0,1857.3333333333333
11333,"['CC1210', 'CC2175', 'CC1435']",EGLL,LFPG,06:05:00,11:55:00,0 days 05:10:00,1215.0,2576.166666666667
11334,"['CC3621', 'CC1918', 'CC1874']",EHAM,EIDW,06:20:00,22:15:00,0 days 05:35:00,555.0,2011.5833333333333
11335,"['CC4920', 'CC2002', 'CC1394', 'CC2594']",LPPT,EHAM,08:30:00,22:35:00,0 days 08:30:00,705.0,2829.5
11336,"['CC1069', 'CC1940', 'CC1394', 'CC2953']",EGLL,LEMD,08:55:00,21:50:00,0 days 08:05:00,555.0,2584.083333333333
11337,"['CC1210', 'CC2032', 'CC1551', 'CC2697', 'CC3644']",EGLL,LFPG,06:05:00,19:45:00,0 days 08:40:00,1215.0,3377.666666666667
11338,"['CC3621', 'CC2361', 'CC1762']",EHAM,EHAM,06:20:00,19:35:00,0 days 05:40:00,0.0,1475.6666666666667
11339,"['CC1284', 'CC2066', 'CC1874']",EGLL,EIDW,10:20:00,22:15:00,0 days 05:30:00,555.0,1992.5
11340,"['CC3897', 'CC1940', 'CC1582', 'CC3056']",EDDF,EDDM,06:05:00,22:55:00,0 days 07:45:00,660.0,2612.75
11341,"['CC1110', 'CC2277', 'CC1198', 'CC2146', 'CC1527']",EGLL,LFPG,06:50:00,22:30:00,0 days 08:40:00,1215.0,3377.666666666667
11342,"['CC3621', 'CC1918', 'CC1551', 'CC2875']",EHAM,EDDF,06:20:00,23:05:00,0 days 07:15:00,650.0,2488.25
11343,"['CC1210', 'CC2175', 'CC1373', 'CC2443', 'CC1347']",EGLL,LFPG,06:05:00,20:20:00,0 days 08:50:00,1215.0,3415.833333333333
11344,"['CC2745', 'CC3778', 'CC2724', 'CC3434', 'CC1814']",LFPG,EIDW,07:30:00,22:45:00,0 days 09:30:00,555.0,2908.5
11345,"['CC1210', 'CC2538', 'CC1198', 'CC2066', 'CC1347']",EGLL,LFPG,06:05:00,20:20:00,0 days 08:50:00,1215.0,3415.833333333333
11346,"['CC3509', 'CC1701']",EHAM,EHAM,12:55:00,21:35:00,0 days 04:10:00,0.0,1132.1666666666665
11347,"['CC3778', 'CC2002', 'CC1031', 'CC2875']",EHAM,EDDF,10:35:00,23:05:00,0 days 07:05:00,650.0,2450.083333333333
11348,"['CC1110', 'CC2398', 'CC1011', 'CC2806', 'CC3568']",EGLL,LFPG,06:50:00,20:50:00,0 days 08:40:00,1215.0,3377.666666666667
11349,"['CC3621', 'CC2724', 'CC3473', 'CC1814']",EHAM,EIDW,06:20:00,22:45:00,0 days 07:45:00,555.0,2507.75
11350,"['CC3897', 'CC1940', 'CC1394']",EDDF,LFPG,06:05:00,16:50:00,0 days 05:30:00,1215.0,2652.5
11351,"['CC1674', 'CC3741', 'CC2654', 'CC3404', 'CC1874']",EGLL,EIDW,06:35:00,22:15:00,0 days 09:50:00,555.0,2984.8333333333335
11352,"['CC3897', 'CC2277', 'CC1394']",EDDF,LFPG,06:05:00,16:50:00,0 days 05:40:00,1215.0,2690.666666666667
11353,"['CC2745', 'CC3741', 'CC2806']",LFPG,EHAM,07:30:00,18:40:00,0 days 05:15:00,705.0,2085.25
11354,"['CC1069', 'CC2486', 'CC1301', 'CC2146', 'CC1125']",EGLL,LFPG,08:55:00,22:05:00,0 days 08:40:00,1215.0,3377.666666666667
11355,"['CC2654', 'CC3404']",LFPG,EGLL,13:15:00,17:40:00,0 days 03:50:00,785.0,1840.8333333333335
11356,"['CC3677', 'CC2486', 'CC1031', 'CC2627']",EHAM,EHAM,07:40:00,21:20:00,0 days 07:00:00,0.0,1781.0
11357,"['CC2175', 'CC1551', 'CC3191']",LFPG,ESSA,08:25:00,23:20:00,0 days 06:50:00,540.0,2282.833333333333
11358,"['CC1210', 'CC2361', 'CC1799', 'CC4731', 'CC1814']",EGLL,EIDW,06:05:00,22:45:00,0 days 10:00:00,555.0,3023.0
11359,"['CC2443', 'CC1874']",LFPG,EIDW,16:55:00,22:15:00,0 days 04:00:00,555.0,1649.0
11360,"['CC1152', 'CC2032', 'CC1011', 'CC2246', 'CC1347']",EGLL,LFPG,06:50:00,20:20:00,0 days 08:40:00,1215.0,3377.666666666667
11361,"['CC1210', 'CC3343', 'CC5181', 'CC2627']",EGLL,EHAM,06:05:00,21:20:00,0 days 08:25:00,705.0,2810.416666666667
11362,"['CC2175', 'CC1435', 'CC2302', 'CC1490']",LFPG,LFPG,08:25:00,22:20:00,0 days 07:10:00,0.0,1819.1666666666667
11363,"['CC3621', 'CC2398', 'CC1799', 'CC4731', 'CC1527']",EHAM,LFPG,06:20:00,22:30:00,0 days 09:45:00,1215.0,3625.75
11364,"['CC1011', 'CC2204', 'CC1814']",EGLL,EIDW,13:20:00,22:45:00,0 days 05:40:00,555.0,2030.6666666666667
11365,"['CC1152', 'CC2302', 'CC1601', 'CC3056']",EGLL,EDDM,06:50:00,22:55:00,0 days 07:45:00,660.0,2612.75
11366,"['CC4078', 'CC4344', 'CC2594']",EDDF,EHAM,07:35:00,22:35:00,0 days 05:45:00,705.0,2199.75
11367,"['CC1110', 'CC2538', 'CC1551', 'CC2246']",EGLL,EGLL,06:50:00,17:40:00,0 days 07:20:00,0.0,1857.3333333333333
11368,"['CC2361', 'CC1198', 'CC2204', 'CC1125']",LFPG,LFPG,09:35:00,22:05:00,0 days 07:00:00,0.0,1781.0
11369,"['CC3293', 'CC5070', 'CC3960', 'CC4519']",LFPG,EDDF,09:15:00,21:10:00,0 days 07:55:00,650.0,2640.916666666667
11370,"['CC3621', 'CC2579', 'CC3404', 'CC1527']",EHAM,LFPG,06:20:00,22:30:00,0 days 07:25:00,1215.0,3091.416666666667
11371,"['CC2032', 'CC1301', 'CC2953']",LFPG,LEMD,10:40:00,21:50:00,0 days 06:25:00,555.0,2202.416666666667
11372,"['CC1284', 'CC2724', 'CC3473', 'CC1814']",EGLL,EIDW,10:20:00,22:45:00,0 days 07:40:00,555.0,2488.666666666667
11373,"['CC2410', 'CC1463', 'CC2697', 'CC3644', 'CC2875']",LFPG,EDDF,07:25:00,23:05:00,0 days 09:10:00,650.0,2927.166666666667
11374,"['CC2745', 'CC3741', 'CC2654', 'CC3644', 'CC3056']",LFPG,EDDM,07:30:00,22:55:00,0 days 09:15:00,660.0,2956.25
11375,"['CC2538', 'CC1582', 'CC3191']",LFPG,ESSA,09:30:00,23:20:00,0 days 07:10:00,540.0,2359.166666666667
11376,"['CC3897', 'CC2277', 'CC1011', 'CC2443', 'CC1701']",EDDF,EHAM,06:05:00,21:35:00,0 days 09:25:00,705.0,3039.416666666667
11377,"['CC1918', 'CC1247', 'CC2246', 'CC1814']",LFPG,EIDW,08:50:00,22:45:00,0 days 07:20:00,555.0,2412.333333333333
11378,"['CC2277', 'CC1551', 'CC2773', 'CC3540']",LFPG,LFPG,10:10:00,22:35:00,0 days 07:10:00,0.0,1819.1666666666667
11379,"['CC3778', 'CC2002', 'CC1601']",EHAM,LFPG,10:35:00,17:45:00,0 days 05:25:00,1215.0,2633.416666666667
11380,"['CC4375', 'CC4009']",EDDM,EDDM,09:50:00,21:15:00,0 days 03:10:00,0.0,903.1666666666666
11381,"['CC1110', 'CC2277', 'CC1011', 'CC2443', 'CC1527']",EGLL,LFPG,06:50:00,22:30:00,0 days 08:50:00,1215.0,3415.833333333333
11382,"['CC3897', 'CC2500', 'CC1347', 'CC2875']",EDDF,EDDF,06:05:00,23:05:00,0 days 07:50:00,0.0,1971.8333333333333
11383,"['CC2410', 'CC1284', 'CC2002', 'CC1394', 'CC3056']",LFPG,EDDM,07:25:00,22:55:00,0 days 09:15:00,660.0,2956.25
11384,"['CC1210', 'CC2486', 'CC1601', 'CC3056']",EGLL,EDDM,06:05:00,22:55:00,0 days 07:45:00,660.0,2612.75
11385,"['CC1110', 'CC2032', 'CC1125']",EGLL,LFPG,06:50:00,22:05:00,0 days 05:00:00,1215.0,2538.0
11386,"['CC1069', 'CC2486', 'CC1762', 'CC3718']",EGLL,LFPG,08:55:00,21:50:00,0 days 07:20:00,1215.0,3072.333333333333
11387,"['CC2032', 'CC1551', 'CC2246', 'CC1347', 'CC2875']",LFPG,EDDF,10:40:00,23:05:00,0 days 09:10:00,650.0,2927.166666666667
11388,"['CC1674', 'CC3741', 'CC2579', 'CC3404', 'CC1347']",EGLL,LFPG,06:35:00,20:20:00,0 days 09:30:00,1215.0,3568.5
11389,"['CC4694', 'CC1551', 'CC2146', 'CC1814']",EIDW,EIDW,09:40:00,22:45:00,0 days 07:50:00,0.0,1971.8333333333333
11390,"['CC1152', 'CC2277', 'CC1247', 'CC3149']",EGLL,EIDW,06:50:00,17:50:00,0 days 07:35:00,555.0,2469.583333333333
11391,"['CC3741', 'CC2724', 'CC3404', 'CC1347', 'CC2594']",EHAM,EHAM,10:20:00,22:35:00,0 days 09:10:00,0.0,2277.166666666667
11392,"['CC1152', 'CC2398', 'CC1198', 'CC2246', 'CC1874']",EGLL,EIDW,06:50:00,22:15:00,0 days 09:10:00,555.0,2832.166666666667
11393,"['CC1069', 'CC1940', 'CC1394', 'CC2204', 'CC1814']",EGLL,EIDW,08:55:00,22:45:00,0 days 09:10:00,555.0,2832.166666666667
11394,"['CC2097', 'CC1069', 'CC2486', 'CC1601', 'CC3191']",LFPG,ESSA,06:30:00,23:20:00,0 days 10:30:00,540.0,3122.5
11395,"['CC1373', 'CC2443', 'CC1874']",EGLL,EIDW,10:40:00,22:15:00,0 days 05:50:00,555.0,2068.833333333333
11396,"['CC2410', 'CC1373', 'CC2246', 'CC1347']",LFPG,LFPG,07:25:00,20:20:00,0 days 07:20:00,0.0,1857.3333333333333
11397,"['CC1110', 'CC2361', 'CC1551', 'CC2806', 'CC3718']",EGLL,LFPG,06:50:00,21:50:00,0 days 08:50:00,1215.0,3415.833333333333
11398,"['CC2097', 'CC1284', 'CC2302', 'CC1031']",LFPG,LFPG,06:30:00,17:45:00,0 days 06:50:00,0.0,1742.8333333333333
11399,"['CC3509', 'CC1031', 'CC3191']",EHAM,ESSA,12:55:00,23:20:00,0 days 07:05:00,540.0,2340.083333333333
11400,"['CC1152', 'CC2361', 'CC1011', 'CC2204', 'CC1814']",EGLL,EIDW,06:50:00,22:45:00,0 days 09:10:00,555.0,2832.166666666667
11401,"['CC3677', 'CC2277', 'CC1551', 'CC2773']",EHAM,EHAM,07:40:00,18:15:00,0 days 07:10:00,0.0,1819.1666666666667
11402,"['CC3897', 'CC1918', 'CC1435', 'CC2204', 'CC1874']",EDDF,EIDW,06:05:00,22:15:00,0 days 09:30:00,555.0,2908.5
11403,"['CC1210', 'CC2398', 'CC1799']",EGLL,EIDW,06:05:00,14:00:00,0 days 05:40:00,555.0,2030.6666666666667
11404,"['CC1069', 'CC1940', 'CC1394', 'CC2146', 'CC1814']",EGLL,EIDW,08:55:00,22:45:00,0 days 09:00:00,555.0,2794.0
11405,"['CC1198', 'CC2443', 'CC1347']",EGLL,LFPG,14:10:00,20:20:00,0 days 05:20:00,1215.0,2614.333333333333
11406,"['CC2175', 'CC1198', 'CC2066', 'CC1347', 'CC2875']",LFPG,EDDF,08:25:00,23:05:00,0 days 08:50:00,650.0,2850.833333333333
11407,"['CC1284', 'CC2806', 'CC3568']",EGLL,LFPG,10:20:00,20:50:00,0 days 05:10:00,1215.0,2576.166666666667
11408,"['CC1069', 'CC2002', 'CC1031', 'CC2627']",EGLL,EHAM,08:55:00,21:20:00,0 days 06:45:00,705.0,2428.75
11409,"['CC3621', 'CC2724', 'CC3473', 'CC1762', 'CC3718']",EHAM,LFPG,06:20:00,21:50:00,0 days 09:25:00,1215.0,3549.416666666667
11410,"['CC2398', 'CC1582', 'CC2875']",LFPG,EDDF,09:25:00,23:05:00,0 days 05:40:00,650.0,2125.666666666667
11411,"['CC1733', 'CC3509', 'CC1031', 'CC2146', 'CC1490']",EGLL,LFPG,08:55:00,22:20:00,0 days 09:20:00,1215.0,3530.333333333333
11412,"['CC3621', 'CC2332', 'CC1301', 'CC2806', 'CC3718']",EHAM,LFPG,06:20:00,21:50:00,0 days 08:55:00,1215.0,3434.916666666667
11413,"['CC1069', 'CC2724', 'CC3404', 'CC1814']",EGLL,EIDW,08:55:00,22:45:00,0 days 07:40:00,555.0,2488.666666666667
11414,"['CC4829', 'CC1940', 'CC1582', 'CC3191']",EIDW,ESSA,07:45:00,23:20:00,0 days 09:25:00,540.0,2874.416666666667
11415,"['CC1110', 'CC2032', 'CC1247', 'CC2443']",EGLL,EGLL,06:50:00,17:55:00,0 days 06:50:00,0.0,1742.8333333333333
11416,"['CC1210', 'CC2398', 'CC1762']",EGLL,EHAM,06:05:00,19:35:00,0 days 05:35:00,705.0,2161.583333333333
11417,"['CC3621', 'CC2953']",EHAM,LEMD,06:20:00,21:50:00,0 days 04:40:00,555.0,1801.6666666666665
11418,"['CC3741', 'CC2002', 'CC1031', 'CC2146', 'CC1125']",EHAM,LFPG,10:20:00,22:05:00,0 days 08:25:00,1215.0,3320.416666666667
11419,"['CC1210', 'CC1918', 'CC1435', 'CC2806', 'CC3540']",EGLL,LFPG,06:05:00,22:35:00,0 days 08:40:00,1215.0,3377.666666666667
11420,"['CC3840', 'CC2002', 'CC1601', 'CC2146']",EDDF,EGLL,08:45:00,19:50:00,0 days 07:20:00,785.0,2642.333333333333
11421,"['CC1940', 'CC1601', 'CC2594']",LFPG,EHAM,12:20:00,22:35:00,0 days 05:25:00,705.0,2123.416666666667
11422,"['CC3778', 'CC2302', 'CC1701']",EHAM,EHAM,10:35:00,21:35:00,0 days 05:40:00,0.0,1475.6666666666667
11423,"['CC2097', 'CC1284', 'CC2579', 'CC3597', 'CC3191']",LFPG,ESSA,06:30:00,23:20:00,0 days 10:10:00,540.0,3046.1666666666665
11424,"['CC3621', 'CC2277', 'CC1011', 'CC3191']",EHAM,ESSA,06:20:00,23:20:00,0 days 08:35:00,540.0,2683.583333333333
11425,"['CC1638', 'CC2724', 'CC3473', 'CC1347', 'CC2875']",EGLL,EDDF,07:20:00,23:05:00,0 days 09:40:00,650.0,3041.6666666666665
11426,"['CC1110', 'CC2361', 'CC1301', 'CC2146']",EGLL,EGLL,06:50:00,19:50:00,0 days 07:00:00,0.0,1781.0
11427,"['CC3621', 'CC2538', 'CC1394', 'CC2146']",EHAM,EGLL,06:20:00,19:50:00,0 days 07:15:00,785.0,2623.25
11428,"['CC1638', 'CC2486', 'CC1301', 'CC2146', 'CC1814']",EGLL,EIDW,07:20:00,22:45:00,0 days 09:30:00,555.0,2908.5
11429,"['CC1152', 'CC2302', 'CC1582', 'CC2875']",EGLL,EDDF,06:50:00,23:05:00,0 days 07:20:00,650.0,2507.333333333333
11430,"['CC3621', 'CC2361', 'CC1031', 'CC2146']",EHAM,EGLL,06:20:00,19:50:00,0 days 06:55:00,785.0,2546.916666666667
11431,"['CC2745', 'CC3741', 'CC2002', 'CC1394', 'CC2875']",LFPG,EDDF,07:30:00,23:05:00,0 days 09:00:00,650.0,2889.0
11432,"['CC3677', 'CC2246', 'CC1814']",EHAM,EIDW,07:40:00,22:45:00,0 days 05:45:00,555.0,2049.75
11433,"['CC3897', 'CC2486', 'CC1762']",EDDF,EHAM,06:05:00,19:35:00,0 days 05:55:00,705.0,2237.916666666667
11434,"['CC1210', 'CC2277', 'CC1031', 'CC3056']",EGLL,EDDM,06:05:00,22:55:00,0 days 07:25:00,660.0,2536.416666666667
11435,"['CC2410', 'CC1011', 'CC2246', 'CC1347', 'CC2875']",LFPG,EDDF,07:25:00,23:05:00,0 days 09:10:00,650.0,2927.166666666667
11436,"['CC2538', 'CC1799', 'CC4781', 'CC2594']",LFPG,EHAM,09:30:00,22:35:00,0 days 08:20:00,705.0,2791.333333333333
11437,"['CC3509', 'CC1762']",EHAM,EHAM,12:55:00,19:35:00,0 days 04:10:00,0.0,1132.1666666666665
11438,"['CC2332', 'CC1394', 'CC2953']",LFPG,LEMD,12:05:00,21:50:00,0 days 06:35:00,555.0,2240.583333333333
11439,"['CC1110', 'CC3191']",EGLL,ESSA,06:50:00,23:20:00,0 days 05:00:00,540.0,1863.0
11440,"['CC3897', 'CC2002', 'CC1582', 'CC2594']",EDDF,EHAM,06:05:00,22:35:00,0 days 07:15:00,705.0,2543.25
11441,"['CC3677', 'CC1940', 'CC1394', 'CC2594']",EHAM,EHAM,07:40:00,22:35:00,0 days 07:00:00,0.0,1781.0
11442,"['CC2410', 'CC1601', 'CC3191']",LFPG,ESSA,07:25:00,23:20:00,0 days 07:10:00,540.0,2359.166666666667
11443,"['CC3621', 'CC2361', 'CC1198', 'CC2806', 'CC3718']",EHAM,LFPG,06:20:00,21:50:00,0 days 08:45:00,1215.0,3396.75
11444,"['CC1152', 'CC3293', 'CC4974']",EGLL,LFPG,06:50:00,17:45:00,0 days 07:00:00,1215.0,2996.0
11445,"['CC4829', 'CC2002', 'CC1394', 'CC2875']",EIDW,EDDF,07:45:00,23:05:00,0 days 08:05:00,650.0,2679.083333333333
11446,"['CC1638', 'CC2002', 'CC1031', 'CC2594']",EGLL,EHAM,07:20:00,22:35:00,0 days 07:05:00,705.0,2505.083333333333
11447,"['CC1110', 'CC1940', 'CC1601', 'CC2146', 'CC1490']",EGLL,LFPG,06:50:00,22:20:00,0 days 08:50:00,1215.0,3415.833333333333
11448,"['CC4439', 'CC3852']",EDDM,LFPG,06:55:00,22:05:00,0 days 03:35:00,1215.0,2213.5833333333335
11449,"['CC2361', 'CC1301', 'CC2806', 'CC3718']",LFPG,LFPG,09:35:00,21:50:00,0 days 07:10:00,0.0,1819.1666666666667
11450,"['CC3840', 'CC3018', 'CC4344', 'CC3191']",EDDF,ESSA,08:45:00,23:20:00,0 days 09:50:00,540.0,2969.8333333333335
11451,"['CC3404', 'CC1125']",EHAM,LFPG,16:25:00,22:05:00,0 days 03:45:00,1215.0,2251.75
11452,"['CC1210', 'CC2246', 'CC1490']",EGLL,LFPG,06:05:00,22:20:00,0 days 05:20:00,1215.0,2614.333333333333
11453,"['CC3897', 'CC2398', 'CC1247', 'CC2146', 'CC1527']",EDDF,LFPG,06:05:00,22:30:00,0 days 09:00:00,1215.0,3454.0
11454,"['CC4106', 'CC4483']",EDDF,EDDF,07:50:00,14:05:00,0 days 03:10:00,0.0,903.1666666666666
11455,"['CC2361', 'CC1247', 'CC2806', 'CC3540']",LFPG,LFPG,09:35:00,22:35:00,0 days 07:00:00,0.0,1781.0
11456,"['CC2361', 'CC1247', 'CC2066']",LFPG,EGLL,09:35:00,17:30:00,0 days 05:10:00,785.0,2146.166666666667
11457,"['CC1210', 'CC2175', 'CC1463', 'CC2246', 'CC1125']",EGLL,LFPG,06:05:00,22:05:00,0 days 08:40:00,1215.0,3377.666666666667
11458,"['CC1210', 'CC1918', 'CC1814']",EGLL,EIDW,06:05:00,22:45:00,0 days 05:30:00,555.0,1992.5
11459,"['CC2175', 'CC1435', 'CC2654', 'CC3718']",LFPG,LFPG,08:25:00,21:50:00,0 days 07:00:00,0.0,1781.0
11460,"['CC2175', 'CC1011', 'CC2806']",LFPG,EHAM,08:25:00,18:40:00,0 days 05:05:00,705.0,2047.0833333333333
11461,"['CC2277', 'CC1031', 'CC3191']",LFPG,ESSA,10:10:00,23:20:00,0 days 06:50:00,540.0,2282.833333333333
11462,"['CC4843', 'CC2146']",ESSA,EGLL,13:25:00,19:50:00,0 days 05:00:00,785.0,2108.0
11463,"['CC3778', 'CC2579', 'CC3434', 'CC1701']",EHAM,EHAM,10:35:00,21:35:00,0 days 07:40:00,0.0,1933.6666666666667
11464,"['CC3897', 'CC2361', 'CC1011', 'CC3149']",EDDF,EIDW,06:05:00,17:50:00,0 days 07:55:00,555.0,2545.916666666667
11465,"['CC2745', 'CC3778', 'CC2124', 'CC1601', 'CC3191']",LFPG,ESSA,07:30:00,23:20:00,0 days 10:30:00,540.0,3122.5
11466,"['CC3677', 'CC2332', 'CC1301', 'CC2146', 'CC1527']",EHAM,LFPG,07:40:00,22:30:00,0 days 08:55:00,1215.0,3434.916666666667
11467,"['CC3741', 'CC2204', 'CC1874']",EHAM,EIDW,10:20:00,22:15:00,0 days 05:45:00,555.0,2049.75
11468,"['CC1152', 'CC2579', 'CC3404', 'CC1814']",EGLL,EIDW,06:50:00,22:45:00,0 days 07:40:00,555.0,2488.666666666667
11469,"['CC2410', 'CC1394', 'CC2627']",LFPG,EHAM,07:25:00,21:20:00,0 days 05:25:00,705.0,2123.416666666667
11470,"['CC3897', 'CC2538', 'CC1301', 'CC2806', 'CC3540']",EDDF,LFPG,06:05:00,22:35:00,0 days 09:20:00,1215.0,3530.333333333333
11471,"['CC2097', 'CC1463', 'CC2500', 'CC1125']",LFPG,LFPG,06:30:00,22:05:00,0 days 07:10:00,0.0,1819.1666666666667
11472,"['CC3897', 'CC1918', 'CC1463', 'CC2066', 'CC1347']",EDDF,LFPG,06:05:00,20:20:00,0 days 09:00:00,1215.0,3454.0
11473,"['CC2410', 'CC1247', 'CC2246', 'CC1490']",LFPG,LFPG,07:25:00,22:20:00,0 days 07:10:00,0.0,1819.1666666666667
11474,"['CC2361', 'CC1198', 'CC2204', 'CC1527']",LFPG,LFPG,09:35:00,22:30:00,0 days 07:10:00,0.0,1819.1666666666667
11475,"['CC3840', 'CC2773', 'CC3568']",EDDF,LFPG,08:45:00,20:50:00,0 days 05:30:00,1215.0,2652.5
11476,"['CC3677', 'CC2277', 'CC1247', 'CC2806']",EHAM,EHAM,07:40:00,18:40:00,0 days 07:00:00,0.0,1781.0
11477,"['CC1210', 'CC2032', 'CC1247', 'CC2773', 'CC3540']",EGLL,LFPG,06:05:00,22:35:00,0 days 08:30:00,1215.0,3339.5
11478,"['CC3677', 'CC2032', 'CC1551', 'CC2443', 'CC1701']",EHAM,EHAM,07:40:00,21:35:00,0 days 09:10:00,0.0,2277.166666666667
11479,"['CC1110', 'CC2124', 'CC1301', 'CC2875']",EGLL,EDDF,06:50:00,23:05:00,0 days 07:10:00,650.0,2469.166666666667
11480,"['CC3621', 'CC2361', 'CC1301', 'CC2806', 'CC3718']",EHAM,LFPG,06:20:00,21:50:00,0 days 08:55:00,1215.0,3434.916666666667
11481,"['CC2745', 'CC3778']",LFPG,LFPG,07:30:00,11:30:00,0 days 03:30:00,0.0,979.5
11482,"['CC1152', 'CC2486', 'CC1762', 'CC3540']",EGLL,LFPG,06:50:00,22:35:00,0 days 07:20:00,1215.0,3072.333333333333
11483,"['CC3621', 'CC2361', 'CC1551', 'CC2443', 'CC1527']",EHAM,LFPG,06:20:00,22:30:00,0 days 09:05:00,1215.0,3473.083333333333
11484,"['CC3897', 'CC1918', 'CC1435', 'CC2146', 'CC1125']",EDDF,LFPG,06:05:00,22:05:00,0 days 08:50:00,1215.0,3415.833333333333
11485,"['CC3621', 'CC1918', 'CC1435', 'CC2443', 'CC1874']",EHAM,EIDW,06:20:00,22:15:00,0 days 09:15:00,555.0,2851.25
11486,"['CC3897', 'CC1918', 'CC1463', 'CC2302', 'CC1874']",EDDF,EIDW,06:05:00,22:15:00,0 days 09:30:00,555.0,2908.5
11487,"['CC2538', 'CC1551', 'CC2443', 'CC1347', 'CC2875']",LFPG,EDDF,09:30:00,23:05:00,0 days 09:30:00,650.0,3003.5
11488,"['CC2410', 'CC1247', 'CC2773', 'CC3718']",LFPG,LFPG,07:25:00,21:50:00,0 days 07:00:00,0.0,1781.0
11489,"['CC1918', 'CC1463', 'CC2204', 'CC1490']",LFPG,LFPG,08:50:00,22:20:00,0 days 07:10:00,0.0,1819.1666666666667
